trial,goal_x_mm,goal_y_mm,goal_z_mm,final_x_mm,final_y_mm,final_z_mm,error_mm,success,steps
0,187.0,-18.0,137.0,189.3,-26.1,137.4,8.43,1,6
1,187.0,-18.0,155.0,185.4,-23.1,154.6,5.36,1,6
2,187.0,-18.0,173.0,187.2,-23.5,169.3,6.63,1,6
3,187.0,0.0,137.0,185.7,-5.9,133.9,6.79,1,9
4,187.0,0.0,155.0,191.5,-5.4,154.6,7.04,1,9
5,187.0,0.0,173.0,189.8,-6.8,170.5,7.77,1,9
6,187.0,18.0,137.0,188.7,12.4,131.9,7.76,1,13
7,187.0,18.0,155.0,189.5,11.5,155.9,7.02,1,12
8,187.0,18.0,173.0,190.7,11.5,169.4,8.3,1,12
9,205.0,-18.0,137.0,206.7,-17.2,142.1,5.44,1,7
10,205.0,-18.0,155.0,204.7,-23.0,157.3,5.51,1,5
11,205.0,-18.0,173.0,204.5,-24.5,172.0,6.6,1,5
12,205.0,0.0,137.0,203.4,-8.5,135.6,8.76,1,7
13,205.0,0.0,155.0,203.1,-5.2,150.5,7.13,1,8
14,205.0,0.0,173.0,208.8,-5.7,168.2,8.36,1,8
15,205.0,18.0,137.0,204.6,14.7,127.7,9.88,1,13
16,205.0,18.0,155.0,203.1,12.8,146.7,9.98,1,11
17,205.0,18.0,173.0,207.8,12.4,167.1,8.6,1,11
18,223.0,-18.0,137.0,226.4,-22.2,143.4,8.38,1,5
19,223.0,-18.0,155.0,222.9,-22.8,156.0,4.9,1,5
20,223.0,-18.0,173.0,220.2,-22.1,167.2,7.63,1,5
21,223.0,0.0,137.0,223.7,-6.1,134.6,6.59,1,8
22,223.0,0.0,155.0,221.2,-8.4,152.4,8.98,1,7
23,223.0,0.0,173.0,223.5,-7.8,166.9,9.91,1,7
24,223.0,18.0,137.0,218.9,15.7,122.4,15.34,0,50
25,223.0,18.0,155.0,222.2,10.9,149.7,8.9,1,10
26,223.0,18.0,173.0,225.3,16.4,153.0,20.2,0,50
