trial,goal_x_mm,goal_y_mm,goal_z_mm,final_x_mm,final_y_mm,final_z_mm,error_mm,success,steps
0,187.0,-18.0,137.0,187.2,-20.4,135.5,2.84,1,8
1,187.0,-18.0,155.0,187.0,-23.8,153.2,6.07,1,7
2,187.0,-18.0,173.0,186.9,-26.1,167.1,10.02,1,6
3,187.0,0.0,137.0,185.9,-3.8,134.7,4.58,1,9
4,187.0,0.0,155.0,185.8,-5.8,152.2,6.55,1,9
5,187.0,0.0,173.0,187.0,-4.6,166.4,8.04,1,9
6,187.0,18.0,137.0,186.8,14.6,131.9,6.13,1,12
7,187.0,18.0,155.0,187.1,10.2,151.4,8.59,1,11
8,187.0,18.0,173.0,187.2,13.8,166.8,7.49,1,12
9,205.0,-18.0,137.0,207.6,-23.0,141.3,7.09,1,7
10,205.0,-18.0,155.0,209.2,-23.6,159.3,8.22,1,6
11,205.0,-18.0,173.0,206.1,-24.8,173.0,6.89,1,5
12,205.0,0.0,137.0,209.7,-3.8,140.5,6.98,1,9
13,205.0,0.0,155.0,203.6,-6.2,151.4,7.3,1,8
14,205.0,0.0,173.0,205.4,-4.4,165.4,8.79,1,9
15,205.0,18.0,137.0,204.7,11.8,132.7,7.55,1,11
16,205.0,18.0,155.0,203.8,11.5,148.8,9.06,1,11
17,205.0,18.0,173.0,203.8,11.5,167.3,8.73,1,11
18,223.0,-18.0,137.0,224.0,-24.7,142.9,8.98,1,6
19,223.0,-18.0,155.0,216.8,-24.7,151.8,9.67,1,5
20,223.0,-18.0,173.0,223.9,-21.0,162.1,11.34,0,50
21,223.0,0.0,137.0,222.0,-6.9,134.6,7.37,1,8
22,223.0,0.0,155.0,222.6,-3.7,147.1,8.73,1,9
23,223.0,0.0,173.0,223.6,-3.1,163.3,10.2,0,50
24,223.0,18.0,137.0,221.6,13.5,129.5,8.86,1,12
25,223.0,18.0,155.0,222.5,14.8,145.7,9.85,1,13
26,223.0,18.0,173.0,223.4,14.2,157.8,15.67,0,50
