trial,goal_x_mm,goal_y_mm,goal_z_mm,final_x_mm,final_y_mm,final_z_mm,error_mm,success,steps
0,187.0,-18.0,137.0,184.6,-24.2,132.0,8.32,1,6
1,187.0,-18.0,155.0,185.1,-21.2,148.5,7.49,1,7
2,187.0,-18.0,173.0,185.4,-21.2,161.6,11.95,0,50
3,187.0,0.0,137.0,184.9,-5.8,130.3,9.11,1,9
4,187.0,0.0,155.0,185.5,-6.2,147.3,10.0,1,9
5,187.0,0.0,173.0,185.9,-3.8,163.3,10.48,0,50
6,187.0,18.0,137.0,184.4,12.3,129.6,9.7,1,12
7,187.0,18.0,155.0,185.4,11.9,147.6,9.72,1,12
8,187.0,18.0,173.0,185.2,13.8,162.8,11.18,0,50
9,205.0,-18.0,137.0,202.4,-21.8,132.2,6.65,1,6
10,205.0,-18.0,155.0,203.2,-21.8,149.9,6.61,1,5
11,205.0,-18.0,173.0,204.0,-21.6,162.0,11.62,0,50
12,205.0,0.0,137.0,203.0,-6.4,131.5,8.67,1,7
13,205.0,0.0,155.0,203.5,-6.9,149.0,9.27,1,7
14,205.0,0.0,173.0,205.3,-3.9,164.6,9.27,1,7
15,205.0,18.0,137.0,202.4,12.2,131.2,8.6,1,10
16,205.0,18.0,155.0,203.2,11.9,149.0,8.74,1,10
17,205.0,18.0,173.0,203.9,13.4,163.1,10.97,0,50
18,223.0,-18.0,137.0,220.7,-21.6,129.8,8.37,1,6
19,223.0,-18.0,155.0,221.3,-22.1,149.2,7.3,1,4
20,223.0,-18.0,173.0,222.5,-21.3,158.3,15.07,0,50
21,223.0,0.0,137.0,221.3,-3.7,128.8,9.16,1,9
22,223.0,0.0,155.0,221.8,-3.5,147.3,8.54,1,7
23,223.0,0.0,173.0,222.0,-4.2,151.4,22.03,0,50
24,223.0,18.0,137.0,220.4,13.1,128.0,10.57,0,50
25,223.0,18.0,155.0,221.0,13.8,146.6,9.6,1,10
26,223.0,18.0,173.0,221.9,13.7,153.1,20.39,0,50
