experiment,seed,success_rate,final_distance,episode_length,steps_to_50pct,steps_to_90pct,total_timesteps,train_seconds
her_sparse,0,1.0,0.027331851595081388,2.75,3000.0,4000.0,50000,390.1
her_sparse,1,1.0,0.03171844511292875,2.77,3000.0,4000.0,50000,372.1
her_sparse,2,1.0,0.03177123114466667,2.79,3000.0,4000.0,50000,346.6
noher_sparse,0,1.0,0.031118022613227367,2.8,14000.0,17000.0,50000,349.6
noher_sparse,1,1.0,0.03031740610487759,2.63,10000.0,13000.0,50000,324.7
noher_sparse,2,1.0,0.03024280468467623,2.76,6000.0,8000.0,50000,314.0
noher_dense,0,1.0,0.028213816611096263,2.7,6000.0,7000.0,50000,315.1
noher_dense,1,1.0,0.026961868645157663,2.66,5000.0,8000.0,50000,334.3
noher_dense,2,1.0,0.028876800425350665,2.77,6000.0,7000.0,50000,334.2
her_dense,0,1.0,0.027442381959408523,2.72,4000.0,8000.0,50000,397.9
her_dense,1,1.0,0.02590767807676457,2.58,5000.0,8000.0,50000,378.2
her_dense,2,1.0,0.0261749123968184,2.77,6000.0,8000.0,50000,398.8
her_sparse_dr,0,1.0,0.031121503356844188,2.94,4000.0,5000.0,50000,394.7
her_sparse_dr,1,1.0,0.031010632272809743,2.99,4000.0,5000.0,50000,388.7
her_sparse_dr,2,1.0,0.030666742832399906,3.06,5000.0,5000.0,50000,382.8
her_sparse_hard,0,0.99,0.012590264057507738,5.32,5000.0,6000.0,50000,389.8
her_sparse_hard,1,1.0,0.010422725586686284,4.92,6000.0,6000.0,50000,7358.7
her_sparse_hard,2,0.99,0.011095662412699311,5.38,6000.0,6000.0,50000,7878.7
noher_sparse_hard,0,0.03,0.27625604217872024,49.14,,,50000,10783.1
noher_sparse_hard,1,0.03,0.1238095025997609,48.76,,,50000,10795.3
noher_sparse_hard,2,0.0,0.36145554393529894,50.0,,,50000,5641.7
